,Name,Type,Alias,Rating,Num_Reviews,THC%,Other_Cannabinoids,Main_Effect,Terpene
1078,Rose Bud,Indica,NA,4.3,24,THC 12%,CBG 2%,Sleepy,Ocimene
1079,Dosi Face,Hybrid,NA,4.3,23,THC 19%,CBG 1%,Talkative,Myrcene
1080,Caramel Cream,Hybrid,NA,4.5,13,THC 20%,CBG 1%,Sleepy,Myrcene
1081,White OG,Indica,"aka White OG Kush, White Kush OG",4.5,107,THC 22%,CBG 1%,Euphoric,Caryophyllene
1082,Purple Widow,Hybrid,aka Purple White Widow,4.5,43,THC 18%,CBG 1%,Giggly,Myrcene
1083,Emerald OG,Indica,"aka Emerald OG Kush, Emerald Kush",4.6,58,THC 20%,CBD 0%,Relaxed,Caryophyllene
1084,Purple Reign,Hybrid,NA,4.4,22,THC 13%,CBD 0%,Tingly,Caryophyllene
1085,White Fire Alien OG,Hybrid,NA,4.5,125,THC 23%,CBG 1%,Relaxed,Caryophyllene
1086,Sweet Cheese,Sativa,NA,4.3,110,THC 21%,CBG 1%,Happy,Caryophyllene
1087,Boy Scout Cookies,Hybrid,"aka BSC, Boy Scout",4.5,57,THC —,CBD —,Hungry,
1088,Wonder Woman,Hybrid,NA,4.5,170,THC 18%,CBG 1%,Energetic,Pinene
1089,Biscotti Gushers,Hybrid,NA,4.8,8,THC —,CBD —,Tingly,
1090,Channel,Hybrid,"aka Channel +, Channel Plus",4.5,21,THC —,CBD —,Focused,
1091,Pink Berry,Indica,NA,4.1,13,THC —,CBD —,Sleepy,
1092,Bay 11,Sativa,aka Granddaddy Bay 11,4.5,108,THC 23%,CBD 0%,Energetic,Limonene
1093,Velvet Bud,Sativa,NA,4.3,18,THC —,CBD —,Talkative,
1094,Kush Mint Cookies,Hybrid,aka Mint Cookies,4.5,12,THC 19%,CBG 1%,Euphoric,Caryophyllene
1095,Potato Runtz,Hybrid,NA,4.7,19,THC —,CBD —,Euphoric,
1096,Little Devil,Hybrid,NA,4.3,6,THC —,CBD —,Focused,
1097,Malawi,Sativa,aka Malawi,4.5,76,THC 22%,CBG 1%,Energetic,Myrcene
1098,Gorilla Cheese,Hybrid,aka Gorilla'd Cheese,4.4,14,THC —,CBD —,Creative,
1099,Purple Ice Cream,Hybrid,NA,4.8,4,THC 20%,CBD 0%,Tingly,Myrcene
1100,Grape OG,Hybrid,NA,4.6,29,THC 19%,CBD 0%,Happy,Myrcene
1101,Dragon OG,Hybrid,NA,4.4,40,THC 19%,CBG 1%,Aroused,Limonene
1102,Nightmare OG,Hybrid,NA,4.7,17,THC 15%,CBG 1%,Talkative,Terpinolene
1103,Sour Pebbles,Sativa,NA,4.4,48,THC 17%,CBG 1%,Talkative,Terpinolene
