Strain,Type,Rating,Effects,Flavor,Description,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
Purple-Mr-Nice,indica,4.2,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Pine,Earthy,Grape",Granddaddy Purple crossed with Mr. Nice.  This strain captures the purple color of GDP and the smell and taste of Mr. Nice.  A very powerful indica that has a high probability of fuzzy couch-lock.,,,,,,0.0,0.0,0.073,0.005,0.003,0.017,0.0,0.153,0.0,0.004,0.4,0.455,0.012,0.0,1.424,0.031,,0.025,0.073,0.0,0.0,,8.38,0.0,73.69,0.0,0.08,0.32,0.0,0.0,0.0,1.59,0.33,0.2,
Purple-Passion,indica,4.4,"Relaxed,Sleepy,Happy,Creative,Euphoric","Earthy,Flowery,Spicy/Herbal","Purple Passion is great for unleashing your creative side. Mild for an indica, this strain produces an intermediate body-heavy sensation. While Purple Passion is mostly indica, its sativa genetics create a well-balanced strain that is inspiring and introspective while still providing the physical calming sensation indicas are famous for. Gently relaxing rather than overwhelming, this strain is great for those looking for a little relief from stress and anxiety. Purple Passion’s taste is harsh but pleasant and smells like fruity candy. This strain typically matures in around 9 weeks and produces large, dense buds.",,,,,,0.0,0.011,0.003,0.0,0.0,0.0,0.0,0.071,0.067,0.009,0.0,0.052,0.126,0.0,0.184,0.039,,0.096,0.376,0.0,0.0,,0.79,0.0,13.35,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.04,0.0,
Purple-Punch,indica,4.6,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Berry,Sweet,Grape","Purple Punch is the sweet and sedating union of two indica-dominant classics. By breeding Larry OG with Granddaddy Purple, the astonishing trichome laden Purple Punch was born, smelling of grape candy, blueberry muffins, and tart Kool-Aid. The potency of this strain gives the consumer a one-two punch to the head and body, initially landing between the eyes and settling down into the limbs. Purple Punch is a delicious dessert strain that is best suited for after dinner. Its effects are preferred for managing nausea, stress, minor body aches, and sleeplessness.",,,,,,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.024,0.0,0.001,0.057,0.046,0.195,0.0,0.159,0.381,,0.098,0.077,0.0,0.0,,0.2,0.0,11.52,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.03,0.0,
Purple-Trainwreck,hybrid,4.2,"Relaxed,Happy,Uplifted,Euphoric,Giggly","Earthy,Grape,Sweet","Purple Trainwreck by Humboldt Seed Organization is an indica-dominant strain that combines genetics from Trainwreck and Mendocino Purps. Blooming in hues of bright green and magenta, Purple Trainwreck is as colorful as it is flavorful. Exhibiting a rich aroma of bright citrus, pine, and lavender, this indica appeases the consumer chasing a stimulating cerebral experience anchored in full physical relaxation. Its breeders recommend growing this strain in a warm, dry climate or indoors with sufficient space and nutrients.",,,,,,0.026,0.003,0.007,0.006,0.004,0.005,0.004,0.069,0.006,0.618,0.165,0.132,0.055,0.02,0.348,0.342,,0.099,0.174,0.011,0.001,,0.49,0.0,20.38,0.0,0.0,0.05,0.0,0.0,0.0,0.79,0.08,0.0,
Purple-Urkle,indica,4.4,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Grape,Sweet,Berry","Purple Urkle’s history is as complex as its flavor palate. A California strain, the origins are believed to stem from a select phenotype of Mendocino Purps, while the essence is a blend of skunk, berry, and fresh grapes. Consumers report the indica effects to be deeply relaxing, sleep-inducing, and a great option for full-body pain relief. The short onset of effects make it a perfect nighttime strain for those who suffer from insomnia.",,,,,,0.0,0.002,0.009,0.002,0.0,0.0,0.0,0.082,0.07,0.0,0.039,0.084,0.173,0.0,0.314,0.525,,0.046,0.025,0.0,0.0,,0.35,0.0,22.95,0.0,0.0,0.02,0.0,0.0,0.0,0.35,0.16,0.0,
Ringos-Gift,hybrid,4.7,"Relaxed,Uplifted,Happy,Focused,Energetic","Earthy,Pine,Citrus","Ringo’s Gift is a high-CBD strain that crosses Harle-Tsu and ACDC. It is named for the late Lawrence Ringo, a cannabis activist and CBD pioneer. Ringo’s Gift comes in several different phenotypes and ratios. The first of which is a “one-for-one” strain, meaning it has an equal ratio of CBD to THC, but Ringo's Gift has seen ratios as steep at 24:1 CBD/THC. This strain has become a favorite in the cannabis clubs of Barcelona, providing a mellow mix of cerebral activity and soothing, full-body relaxation without the “couch lock” effect.",,,,,,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.041,0.0,0.0,0.034,0.043,0.328,0.0,0.131,1.272,,0.151,0.103,0.0,0.0,,0.04,0.0,0.66,0.0,0.0,16.35,0.2,0.0,0.1,0.71,0.06,0.01,
Royal-Highness,hybrid,4.8,"Happy,Relaxed,Energetic,Uplifted,Focused","Flowery,Earthy,Cheese","Royal Highness, 3rd place winner of Best CBD Flower at the 2016 Colorado Cannabis Cup, is a hybrid bred by Royal Queen Seeds. Its combination of Dance Hall and Respect genetics express themselves in a nearly balanced THC:CBD ratio. While indica in stature, the effects of Royal Highness are led by its sativa influence. The result is an active, energetic buzz that rewards consumers with a clear head along with its therapeutic qualities. The smooth flavors of Royal Highness bring to mind sweet fruit and skunky spice, making this strain an enjoyable answer to anxiety and chronic pain.",,,,,,0.0,0.002,0.018,0.0,0.0,0.0,0.0,0.035,0.115,0.0,0.056,0.107,0.13,0.0,0.364,0.729,,0.039,0.043,0.0,0.0,,0.59,0.0,17.52,0.0,0.0,0.03,0.0,0.0,0.0,0.6,0.05,0.02,
Royal-Kush,hybrid,4.2,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Woody,Earthy,Skunk","Royal Kush by G13 Labs is a king among hybrids, delivering powerful trance-like effects with an earthy, skunky aroma. This balanced hybrid descends from the renowned line of Afghani and Skunk #1, two strains that have gained legendary status among cannabis breeders. Royal Kush’s happy, euphoric relaxation branches out in full-body effects that later ease into deep restfulness conducive for sleep. Patients treating stress, pain, and nausea can benefit from Royal Kush’s potent relief, but less seasoned consumers should take caution with this hard-hitter. This strain has a unique coverage of white pistil hairs, and growers are recommended an 8 to 13 week flowering time for their indoor Royal Kush plants.",,,,,,0.0,0.002,0.003,0.0,0.0,0.003,0.0,0.038,0.073,0.002,0.021,0.055,0.188,0.0,0.202,0.931,,0.056,0.056,0.0,0.0,,1.22,0.0,18.38,0.0,0.0,0.04,0.0,0.0,0.0,0.51,0.08,0.0,
Sfv-Og,hybrid,4.4,"Happy,Relaxed,Uplifted,Euphoric,Focused","Earthy,Pine,Pungent","SFV OG by Cali Connection is a sativa-dominant hybrid that is great for patients who need strong pain relief but don’t want to be stuck on the couch. As the name indicates, this OG Kush relative originates from California’s San Fernando Valley. Although their names are barely distinguishable, SFV OG Kush is actually the Afghani-crossed child to SFV OG. The flowers will stay fairly small and may not look super impressive, but what it lacks in looks it makes up for in smell. The pine and lemon earthiness that SFV exudes can be a bit harsh and bitter if smoked, so this strain is one to save for the vaporizer if consuming directly. Its indica body effects take a little longer to feel than the initial head haziness, but once they do, everything will feel fine.",,,,,,0.0,0.019,0.0,0.0,0.02,0.0,0.0,0.132,0.0,0.004,0.015,0.043,0.086,0.0,0.163,1.267,,0.153,1.015,0.0,0.0,,0.33,0.0,13.79,0.0,0.0,0.05,0.0,0.0,0.01,0.16,0.04,0.0,
Sfv-Og-Kush,indica,4.5,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Pine,Earthy,Lemon","SFV OG Kush, not to be confused with its precursor SFV OG, is an indica-dominant strain bred from OG Kush genetics by The Cali Connection. By crossing an SFV OG clone with an Afghani father and selecting for favorable traits over several generations, the indica-heavy SFV OG Kush was born. You can smell the OG genes in this one, as its odor is commonly described as a strong lemon cleaner smell intermixed with pine.",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119,0.0,0.0,0.0,0.142,0.033,0.0,0.471,1.175,,0.067,0.371,0.0,0.0,,1.95,0.0,19.87,0.0,0.0,0.02,0.0,0.0,0.0,0.63,0.09,0.01,
Shangri-La,hybrid,4.7,"Euphoric,Relaxed,Uplifted,Happy,Energetic","Earthy,Pungent,Lemon","Taking its name from the mythical valley utopia, the Shangri-La hybrid is sure to bring you to your own internal paradise. This 60/40 sativa-dominant strain takes you to a peaceful mindset where happiness and relaxation are no strangers. Patients might also choose this strain as an uplifting escape from nausea, stress, and pain. Skunky and sweet in flavor, Shangri-La boasts a garden of different aromas from ripe grape and berry to tropical mango and citrus. Bred by JinxProof Genetics and propagated by TGA Genetics, Shangri-La crosses parent strains Fudo Myo-o and 9 Pound Hammer. ",,,,,,0.0,0.012,0.003,0.0,0.01,0.0,0.0,0.095,0.002,0.009,0.02,0.069,0.045,0.0,0.257,0.588,,0.092,0.563,0.0,0.0,,0.99,0.0,22.32,0.0,0.0,0.07,0.0,0.0,0.0,0.42,0.25,0.03,
Shark-Shock,indica,4.2,"Relaxed,Euphoric,Focused,Happy,Tingly","Earthy,Woody,Spicy/Herbal",Shark Shock's origin is White Widow crossed with Skunk #1.  Has a fruity taste and carries intense stoney effects.  The plant will grow into a densely compacted white skunk with extreme aromas.  ,,,,,,0.0,0.003,0.012,0.0,0.0,0.0,0.0,0.039,0.02,0.041,0.052,0.092,0.056,0.0,0.299,0.281,,0.04,0.15,0.0,0.0,,0.71,0.0,17.88,0.0,0.0,0.07,0.0,0.0,0.0,0.74,0.06,0.02,
Silver-Bubble,hybrid,4.5,"Happy,Relaxed,Uplifted,Euphoric,Creative","Sweet,Woody,Berry","Silver Bubble is a supreme hybrid; a compelling mix of Haze, Northern Lights, and Skunk bred by DNA Genetics. It is a strain with a heavy Haze influence and has become a mainstay at the Amsterdam coffee shops, specifically Grey Area. Silver Bubble is a timeless Dutch strain that provides well-rounded effects and an aroma spiced with sandalwood. ",,,,,,0.0,0.021,0.009,0.0,0.0,0.0,0.0,0.044,0.0,0.016,0.0,0.076,0.065,0.0,0.184,0.166,,0.11,0.788,0.008,0.0,,0.32,0.0,24.8,0.03,0.0,0.09,0.0,0.0,0.0,1.12,0.15,0.02,
Silver-Calyx,hybrid,5.0,"Aroused,Energetic,Euphoric,Focused,Relaxed","Lemon,Tree,Fruit,Pine","Silver Calyx by Calyx Garden is a balanced hybrid created from potent and popular genetics. This strain is a cross of Platinum Calyx (a Platinum GSC mashup) and a rogue seed found in a GG#4 bag. The sticky, trichome laden exterior makes Silver Calyx an apt name for this pungent flower. It has a classic GG#4 aroma full of earth and skunk, but also has a distant, sweet berry undertone. Utilize Silver Calyx to help stave off headaches, minor physical discomfort, and insomnia. ",,,,,,0.0,0.01,0.01,0.0,0.003,0.006,0.0,0.111,0.0,0.004,0.088,0.126,0.04,0.0,0.327,0.01,,0.066,0.256,0.0,0.0,,0.38,0.0,21.12,0.0,0.0,0.05,0.0,0.0,0.0,1.33,0.05,0.0,
Skunk-1,hybrid,4.1,"Euphoric,Creative,Relaxed,Happy,Hungry","Skunk,Earthy,Pungent","Skunk #1 is a hybrid strain that has influenced cannabis on a global scale, parenting a horde of Skunk crosses since it first bloomed in the late 1970s. Sacred Seed Co. originally bred Skunk #1 using diverse genetics from around the world; Afghani, Acapulco Gold, and Colombian Gold varieties converged through an intricate selective breeding process that spanned several generations, and finally the genetic cornerstone of countless cannabis hybrids was born. The original Skunk #1 gave rise to several variations that were later harvested in the gardens of Sensi Seeds, Dutch Passion, Flying Dutchmen, Nirvana Seeds, and Royal Queen Seeds. As its name suggests, Skunk #1 buds radiate with an aromatic blend of sour skunkiness and subtle earthy notes. This hybrid offers elevated creativity through its high-energy buzz, while stress and appetite loss melt away with Skunk #1’s potency.",,,,,,0.0,0.019,0.017,0.0,0.034,0.028,0.0,0.164,0.0,0.037,0.023,0.132,0.056,0.0,0.306,0.085,,0.091,0.383,0.0,0.0,,0.54,0.0,15.51,0.02,0.0,0.08,0.0,0.0,0.0,0.19,0.05,0.0,
Skunkberry,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Creative","Skunk,Berry,Blueberry","Skunkberry is the odoriferous hybrid cross of parent strains Skunk and Blueberry. While the genetic makeup of this strain might seem commonplace, the unique terpenes specific to each of these fine cannabis varieties (and their robust and varied lineages) contribute to the complexity of this strain's effects. While the onset of the buzz is uplifting and euphoric, the strain simultaneously melts physical pain away without being overwhelmingly sedative.",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.074,0.0,0.032,0.085,0.262,0.0,0.296,0.394,,0.153,0.377,0.0,0.0,,0.65,0.0,18.53,0.0,0.0,0.02,0.0,0.0,0.0,0.55,0.06,0.02,
Skywalker,indica,4.3,"Relaxed,Euphoric,Sleepy,Happy,Uplifted","Earthy,Sweet,Citrus","Skywalker is a well-rounded indica-dominant hybrid that helps patients knock out pain and relax into sleep after a long day of battling the Dark Side. The sativa side of this strain allows for a nice head high as well, but it isn’t overly hazy or unfocused. Skywalker was created by Amsterdam’s Dutch Passion Seeds to combine the sweet fruity aroma of Blueberry with the growing strengths of the hardy, high-yielding Mazar. Great for indoor growing, Skywalker plants will stay shorter and bushy, flowering in 8 to 9 weeks. If you’re looking for the California Skywalker that has OG genetics, check out Skywalker OG. ",,,,,,0.0,0.024,0.016,0.0,0.019,0.0,0.0,0.291,0.004,0.012,0.0,0.068,0.067,0.0,0.189,0.445,,0.125,0.745,0.0,0.0,,1.84,0.0,25.43,0.0,0.0,0.02,0.0,0.0,0.0,0.18,0.09,0.0,
Skywalker-Og,hybrid,4.5,"Relaxed,Euphoric,Happy,Uplifted,Sleepy","Earthy,Pungent,Sweet","Skywalker OG is a potent indica-dominant hybrid strain that may just take you to a galaxy far, far away. No Sith genetics here—this plant is a cross between Skywalker and OG Kush and has the strong aroma characteristic to kush strains that includes a spicy herbal scent tinged with jet fuel. This strain makes relaxation your only mission, and some users report strong body effects that include mild tingling and numbness. If pain and physical limitations are the issue, Skywalker OG is here to rescue you. The galaxy also holds a sativa dominant variety of Skywalker that is also often referred to as Skywalker OG or Sativa OG.",,,,,,0.0,0.028,0.025,0.0,0.024,0.0,0.0,0.154,0.0,0.012,0.039,0.201,0.095,0.0,0.663,1.185,,0.16,0.91,0.0,0.0,,1.06,0.01,23.23,0.01,0.0,0.07,0.0,0.01,0.06,0.69,0.1,0.02,
Snow-Monster,indica,4.3,"Relaxed,Happy,Euphoric,Hungry,Sleepy","Earthy,Sweet,Skunk",Snow Monster from Exotic Genetix is a 70/30 indica-dominant cross between The White and Starfighter. ,,,,,,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.188,0.0,0.106,0.123,,0.142,0.668,0.0,0.0,,1.17,0.0,25.29,0.0,0.0,0.04,0.0,0.0,0.07,0.73,0.05,0.0,
Snowland,hybrid,4.5,"Relaxed,Sleepy,Talkative,Creative,Focused","Earthy,Lemon,Flowery","A limited edition release from DNA Genetics, SnowLAnd is a cross of Snowcap and LA Confidential created in an attempt to tame the huge size of Snowcap while still producing large yields of potent, highly-resinous flowers. Most phenotypes are compact indica-like plants with extremely dense buds and flavors ranging from fruit to diesel to sandalwood. Reports indicate that SnowLAnd is very strong with a long lasting, balanced high.",,,,,,0.035,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.113,0.733,0.0,0.0,0.055,0.026,0.067,0.186,,0.097,0.176,0.0,0.0,,1.52,0.0,22.61,,0.0,0.05,0.0,0.0,0.0,2.13,0.14,0.04,
Sour-Alien,hybrid,4.3,"Relaxed,Creative,Giggly,Happy,Uplifted","Diesel,Lemon,Pungent","Sour Alien, bred by Cali Connection, is a 60% indica-dominant hybrid cross between Alien Kush and Sour Diesel.",,,,,,0.0,0.006,0.005,0.0,0.001,0.0,0.0,0.034,0.003,0.0,0.059,0.076,0.153,0.0,0.206,0.374,,0.089,0.069,0.0,0.0,,0.27,0.0,19.56,0.0,0.0,0.04,0.0,0.0,0.0,0.36,0.05,0.0,
Sour-Candy,hybrid,4.5,"Happy,Creative,Focused,Uplifted,Energetic","Diesel,Earthy,Sweet","Sour Candy is a predominantly sativa mix of Sour Diesel and Bubble Gum. Both parent strains are admired for their exquisite flavors and the happy, uplifting effects they produce. Once combined, Sour Candy takes on a mouth-watering array of sweet, tropical fruit flavors with a pungent diesel finish. The potent effects are euphoric and talkative which makes Sour Candy a popular choice for daytime use.",,,,,,0.0,0.02,0.215,0.006,0.003,0.067,0.0,0.19,0.033,0.101,0.268,0.757,0.186,0.0,2.437,0.232,,0.182,0.35,0.0,0.0,,3.06,0.0,70.96,0.0,0.0,0.17,0.0,0.0,0.0,1.48,0.21,0.0,
Sour-Cookies,hybrid,4.4,"Relaxed,Happy,Talkative,Euphoric,Uplifted","Diesel,Sweet,Earthy","Sour Cookies is a blend of Girl Scout Cookies and Sour Diesel. This cross combines the medical-grade sedation of GSC with the uplifted, cerebral, mood enhancing effects of Sour Diesel. The smell is doughy and pungent with overtones of fuel and hash. Enjoy this strain in small doses to harness the sativa-dominant effects, but with consistent use, this strain envelops the consumer in a weighted couch-lock that can persist for over an hour.   ",,,,,,0.0,0.012,0.095,0.0,0.0,0.0,0.0,0.573,0.0,0.0,0.218,0.437,0.068,0.0,1.283,0.224,,0.137,0.796,0.0,0.0,,2.24,0.0,68.92,0.06,0.0,0.2,0.0,0.0,0.0,2.49,0.39,0.0,
Sour-Diesel,sativa,4.4,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Diesel,Pungent,Earthy","Sour Diesel, sometimes called Sour D, is an invigorating sativa-dominant strain named after its pungent, diesel-like aroma. This fast-acting strain delivers energizing, dreamy cerebral effects that have pushed Sour Diesel to its legendary status. Stress, pain, and depression fade away in long-lasting relief that makes Sour Diesel a top choice among medical patients. This strain took root in the early 90's, and it is believed to have descended from Chemdawg 91 and Super Skunk.",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.021,0.0,0.0,0.141,0.072,0.0,0.403,0.39,,0.062,0.294,0.0,0.0,,76.4,0.57,0.22,0.53,3.46,0.07,0.3,0.0,0.0,0.0,2.47,0.09,
Sour-Grape,hybrid,4.2,"Relaxed,Happy,Uplifted,Hungry,Energetic","Grape,Sweet,Berry","Get ready to pucker up, because this strain truly tastes like sour grapes. A pungent cross between Sour Diesel and Granddaddy Purple, Sour Grape has a very sour, fuel-like scent with fruity aftertones. Introspective and relaxing, this strain is great for winding down with a cup of tea or a low-key evening with friends. Sour Grape walks the fine line between energizing and calming, relaxing the muscles while avoiding the strong sedative effects found in pure indicas. This strain works well for consumers suffering from stress and muscle tension. It’s different from the craft strain “Sour Grapes,” so remember to ask your budtender which one they carry.",,,,,,0.0,0.0,0.153,0.0,0.0,0.0,0.0,0.101,0.044,0.0,0.157,0.381,0.111,0.0,1.073,0.47,,0.079,0.153,0.0,0.0,,3.0,0.0,70.32,0.0,0.07,0.2,0.0,0.0,0.0,2.04,0.25,0.0,
Sour-Haze,sativa,4.5,"Uplifted,Euphoric,Happy,Creative,Relaxed","Citrus,Lemon,Pungent","What people usually notice first about this strain is it’s strong sour smell and equally citrusy taste—it might just be enough to make you pucker. A cross between Sour Diesel and an unknown Haze strain, Sour Haze is a natural favorite for fans of other Haze hybrids and a good choice for anyone looking for flavor. The crystal-coated flowers are potent, but this sativa heavy high keeps users feeling focused and alert.",,,,,,0.0,0.005,0.008,0.001,0.004,0.0,0.0,0.019,0.07,0.003,0.008,0.176,0.467,0.0,0.604,0.595,,0.127,0.078,0.0,0.0,,0.39,0.0,16.09,0.0,0.0,0.06,0.0,0.0,0.0,0.14,0.03,0.0,
Sour-Headband,hybrid,4.4,"Focused,Uplifted,Euphoric,Happy,Energetic","Diesel,Pungent,Skunk","As its name implies, Sour Headband is a cross between two of the most famous cannabis strains in the United States, East Coast favorite Sour Diesel and the West Coast classic Headband. With large, dense, trichome encrusted flowers and an intense aroma/flavor combining diesel fuel and sour lemon, this one is a must-try strain for Sour Diesel lovers. Sour Headband is a sativa-dominant hybrid that is a good choice for daytime relief of tension and pain while maintaining a clear mind.",,,,,,0.0,0.01,0.005,0.0,0.001,0.001,0.0,0.121,0.001,0.006,0.116,0.181,0.038,0.0,0.468,0.415,,0.076,0.461,0.0,0.0,,0.58,0.0,23.77,0.0,0.0,0.08,0.0,0.0,0.0,0.5,0.13,0.0,
Sour-Kush,hybrid,4.3,"Relaxed,Happy,Uplifted,Energetic,Focused","Earthy,Pungent,Diesel","This cross between Sour Diesel and OG Kush from DNA Genetics is a winning combination. For those looking for daytime pain relief, Sour Kush might be one of the best choices out there. Providing consumers with an uplifting experience without overwhelming sedative effects, this hybrid is great for day-to-day consumption. Sour Kush is slightly sativa-dominant, igniting a giggly and euphoric feeling. The indica effects, however, present themselves a few minutes after consumption. This strain is extremely pungent, so it’s best stored in tightly sealed containers.",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114,0.0,0.0,0.196,0.402,0.02,0.0,1.027,0.551,,0.042,0.254,0.0,0.0,,0.97,0.0,20.89,0.0,0.0,0.06,0.0,0.0,0.0,0.45,0.06,0.0,
Sour-Og,hybrid,4.4,"Happy,Relaxed,Uplifted,Euphoric,Creative","Diesel,Pungent,Pine","Sour OG is a 50/50 hybrid strain that is a real favorite among those who love a balanced sativa/indica buzz. As a cross of two of the most popular and widely available strains in the world (Sour Diesel and OG Kush), Sour OG has been available in clone and seed form for quite some time. Most samples express dense, round, OG Kush-type buds laden with large, sticky trichomes. The odor and taste are usually an equal mix of both parents, with sour lemon, pine, fuel, and a distinct “kushy” undertone, although some versions have a more fruity profile. Often described as a “one-hit-quit” strain, Sour OG starts with an energetic head high that gradually gives way to a relaxing body stone.",,,,,,0.0,0.0,0.073,0.0,0.023,0.012,0.0,0.189,0.0,0.0,0.425,0.631,0.032,0.0,1.738,0.024,,0.037,0.158,0.0,0.0,,11.79,0.04,69.72,0.0,0.08,0.19,0.0,0.0,0.0,1.01,0.27,0.16,
Sour-Tangie,sativa,4.6,"Happy,Uplifted,Euphoric,Energetic,Focused","Citrus,Diesel,Orange","DNA Genetics’ Sour Tangie is an 80% sativa cross between East Coast Sour Diesel and Tangie. Sour Tangie brings together the classic Sour Diesel aroma with Tangie’s creative, elevating buzz and strong citrus overtones. This sativa has two different phenotypes that express either Sour Diesel or Tangie bud structures and effects. Sour Tangie grows quickly in its vegetative cycle and finishes flowering in 9 to 10 weeks indoors.",,,,,,0.0,0.004,0.008,0.0,0.0,0.0,0.0,0.02,0.007,0.004,0.072,0.12,0.023,0.0,0.292,0.11,,0.033,0.11,0.0,0.0,,0.23,0.0,16.31,0.0,0.0,0.08,0.0,0.0,0.0,0.42,0.08,0.0,
Sour-Tsunami,hybrid,4.4,"Relaxed,Creative,Focused,Euphoric,Happy","Citrus,Diesel,Sweet","Sour Tsunami is a strain that became famous for being one of the first to be specifically bred for high CBD rather than THC content. The result is a strain that’s effective at treating pain and inflammation without producing a significant “high” that is linked to high THC. Sour Tsunami CBD levels test as high as 10 or 11%, while THC is usually under 10%. Lawrence Ringo of the Southern Humboldt Seed Collective bred this strain over four years of hard work by crossing Sour Diesel plants with NYC Diesel. This sativa-dominant hybrid flowers within 9 weeks, producing dense, dark green buds with dark green and purple-tinged leaves. The buds have a familiar musky diesel smell with sweet undertones.",,,,,,0.01,0.0,0.012,0.0,0.0,0.0,0.0,0.02,0.145,0.467,0.052,0.063,0.09,0.01,0.148,0.753,,0.061,0.075,0.009,0.0,,0.05,0.0,0.47,0.0,0.0,14.07,0.4,0.0,0.08,0.11,0.02,0.04,
Southern-Lights,sativa,3.5,"Aroused,Uplifted,Creative,Euphoric,Happy",Lemon,"Southern Lights, formerly known as White Star, from Delta 9 Labs takes NYC Diesel and adds just a touch of earthy indica flavor from Sensi Star to the mix. The cerebral sativa effects are led by a pungent, fruity musk that invigorates and uplifts the senses. The elevated head buzz is eventually displaced by relaxing body effects, an attribute that can be enhanced by extending the flowering cycle beyond 11 weeks.",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.078,0.0,0.0,0.077,0.0,0.0,0.215,0.259,,0.003,0.001,0.0,0.0,,0.62,0.0,14.19,0.0,0.0,0.02,0.0,0.0,0.0,1.24,0.11,0.0,
Space-Bomb,hybrid,4.3,"Euphoric,Relaxed,Uplifted,Happy,Creative","Earthy,Flowery,Berry","This 60% sativa strain is a cross between the clone-only Tiny Bomb and Space Queen and was bred at least in part to produce the qualities of Tiny Bomb in seed form. Available since 2006, this strain is the work of TGA Seeds and placed in the Top 10 at the 2009 High Times Cannabis Cup. Space Bomb will produce beautiful lime green buds with orange throughout. The buds will have a fruit candy smell with a little bit of that sweet-rot smell when they flower at 7-8 weeks—a true speed queen for a sativa. Yields will be average, but the buds are potent and covered in trichomes.",,,,,,0.0,0.014,0.008,0.0,0.0,0.0,0.0,0.075,0.095,0.04,0.0,0.097,0.06,0.0,0.194,0.627,,0.086,0.312,0.0,0.0,,0.45,0.0,21.35,0.01,0.0,0.07,0.0,0.0,0.0,1.0,0.07,0.0,
Space-Candy,hybrid,4.6,"Uplifted,Relaxed,Happy,Focused,Euphoric","Earthy,Sweet,Pungent","Space Candy originally comes from Heroes of the Farm, who bred this hybrid strain by crossing Cherry Space Queen and Cotton Candy. The genetic combination is as decadent as it sounds, as Space Candy inherits a unique flavor profile of candied apples and sweet cherry, counterbalanced by more tame earthy notes. Its effects may take some time to taper in, but once they do, expect to experience the mind-body balance of invigorating euphoria and deep physical relaxation.",,,,,,0.0,0.017,0.008,0.0,0.0,0.07,0.0,0.078,0.09,0.019,0.0,0.134,0.062,0.0,0.483,0.088,,0.083,0.574,0.0,0.0,,0.81,0.0,22.18,0.0,0.0,0.03,0.0,0.0,0.0,0.36,0.1,0.0,
Stardawg,hybrid,4.5,"Happy,Relaxed,Uplifted,Euphoric,Talkative","Diesel,Pungent,Earthy","Stardawg, possibly named after the bright, sparkling crystal trichomes that blanket the strain like stars, is a hybrid cross between Chemdawg 4 and Tres Dawg. Earthy pine with sour notes of diesel color Stardawg, whose uplifting effects may help patients treating stress, fatigue, and anxiety disorders. Stardawg flowers in 67 days indoors with moderate yields. ",,,,,,0.0,0.011,0.004,0.0,0.007,0.0,0.0,0.071,0.0,0.003,0.05,0.112,0.036,0.0,0.291,0.494,,0.075,0.27,0.0,0.0,,0.45,0.0,21.14,0.0,0.0,0.05,0.0,0.0,0.0,0.31,0.11,0.0,
Strawberry-Banana,hybrid,4.5,"Relaxed,Euphoric,Happy,Uplifted,Creative","Strawberry,Sweet,Berry","Strawberry Banana is a 70/30 indica-dominant cannabis strain developed by DNA Genetics in collaboration with Serious Seeds. A genetic cross between Crockett’s Banana Kush and the “Strawberry” phenotype of Bubble Gum, Strawberry Banana inherits a sweet fruity flavor that earned this hybrid her name. Known for its heavy resin production and high THC content, Strawberry Banana produces happy, peaceful effects that sharpen creativity and sensory awareness.",,,,,,0.0,0.025,0.018,0.0,0.0,0.0,0.0,0.0,0.128,0.045,0.0,0.096,0.102,0.0,0.229,0.184,,0.124,0.439,0.0,0.0,,0.14,0.0,20.81,0.0,0.0,0.08,0.0,0.0,0.0,0.69,0.27,0.0,
