Name,Type,Alias,Rating,Num_Reviews,THC%,Other_Cannabinoids,Main_Effect,Terpene,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
Chocolate Thai,Sativa,,4.2,130.0,THC 16%,CBD 0%,Creative,Myrcene,,,,,,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.024,0.1,0.103,0.0,0.287,0.75,,0.054,0.018,0.0,0.0,,1.89,0.0,20.78,0.0,0.0,0.05,0.0,0.0,0.0,0.17,0.06,0.05,
Double Dream,Hybrid,,4.4,368.0,THC 21%,CBD 0%,Focused,Myrcene,,,,,,0.0,0.009,0.01,0.002,0.0,0.0,0.0,0.064,0.0,0.003,0.041,0.068,0.545,0.0,0.198,0.736,,0.236,0.078,0.0,0.0,,0.72,0.0,23.89,0.0,0.0,0.09,0.0,0.0,0.0,0.18,0.06,0.0,
Golden Ticket,Hybrid,aka Mr. Dank,4.5,165.0,THC 18%,CBG 1%,Uplifted,Terpinolene,,,,,,0.0416,0.0,0.0,0.0,0.0351,0.0543,0.0,0.021,0.0268,0.644,0.0254,0.0248,0.111,0.0295,0.0803,0.292,,0.163,0.218,0.0213,0.0,,3.02,0.0,17.7,0.07,0.0,0.0,0.0,0.0,0.0,0.34,0.09,0.0,
Kosher Dawg,Hybrid,,4.5,35.0,THC 18%,CBD 0%,Focused,Myrcene,,,,,,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.007,0.0,0.082,0.038,0.0,0.274,0.235,,0.069,0.234,0.0,0.0,,1.15,0.0,24.42,0.0,0.0,,0.0,0.0,0.0,0.73,0.14,0.0,
Mr. Nice Guy,Indica,"aka Mr. Nice, Mister Nice Guy, Mister Nice",4.1,805.0,THC 17%,CBD 0%,Sleepy,Myrcene,,,,,,0.0,0.029,0.113,0.0,0.0,0.008,0.0,0.119,0.0,0.009,0.397,0.821,0.093,0.0,2.109,0.065,,0.162,0.489,0.0,0.0,,1.93,0.0,59.77,0.0,0.0,0.31,0.0,0.0,0.0,1.86,0.13,0.0,
Pie Face,Hybrid,"aka Pie Face OG, Pie Face OG Kush",4.5,93.0,THC 18%,CBG 1%,Giggly,Caryophyllene,,,,,,0.0,0.006,0.006,0.0,0.001,0.0,0.0,0.149,0.0,0.005,0.029,0.098,0.023,0.0,0.333,0.074,,0.042,0.21,0.0,0.0,,1.41,0.0,17.76,0.0,0.05,0.04,0.0,0.0,0.0,0.44,0.19,0.0,
Mob Boss,Hybrid,aka Mob Boss Tang Tang,4.5,305.0,THC 20%,CBG 1%,Energetic,Myrcene,,,,,,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.084,0.119,0.0,0.0,0.13,0.337,0.0,0.377,0.581,,0.194,0.569,0.0,0.0,,79.98,0.6,0.2,0.56,3.62,0.07,0.31,0.0,0.0,0.0,2.54,0.11,
Royal Kush,Hybrid,,4.2,207.0,THC 17%,CBG 1%,Sleepy,Myrcene,,,,,,0.0,0.002,0.003,0.0,0.0,0.003,0.0,0.038,0.073,0.002,0.021,0.055,0.188,0.0,0.202,0.931,,0.056,0.056,0.0,0.0,,1.22,0.0,18.38,0.0,0.0,0.04,0.0,0.0,0.0,0.51,0.08,0.0,
Candy Jack,Sativa,,4.4,280.0,THC 19%,CBG 1%,Energetic,Terpinolene,,,,,,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.073,0.571,0.0,0.088,0.057,0.011,0.217,0.082,,0.079,0.097,0.0,0.0,,0.86,0.0,22.36,0.0,0.0,0.07,0.0,0.0,0.0,1.12,0.16,0.0,
Tropical Cookies,Hybrid,,4.5,17.0,THC 21%,CBG 1%,Focused,Caryophyllene,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.016,0.113,0.017,0.0,0.431,0.149,,0.032,0.159,0.0,0.0,,0.75,0.0,21.52,0.0,0.0,0.08,0.0,0.0,0.0,0.61,0.07,0.0,
Afternoon Delight,Hybrid,aka Afternoon Delite,4.6,57.0,THC 16%,CBG 1%,Tingly,Terpinolene,,,,,,0.042,0.006,0.0,0.0,0.0,0.056,0.0,0.072,0.0,0.409,0.0,0.035,0.056,0.039,0.055,0.158,,0.072,0.13,0.0,0.0,,1.24,0.0,17.11,0.0,0.0,0.11,0.0,0.0,0.0,0.15,0.05,0.0,
Super Jack,Sativa,"aka Super Jack Herer, Super Silver Jack",4.5,210.0,THC 20%,CBG 1%,Energetic,Terpinolene,,,,,,0.032,0.0,0.0,0.005,0.0,0.0,0.003,0.01,0.113,0.797,0.003,0.125,0.072,0.021,0.348,0.104,,0.113,0.101,0.013,0.0,,0.37,0.0,21.64,0.0,0.0,0.07,0.0,0.0,0.02,1.57,0.14,0.0,
Scott's OG,Hybrid,aka Scott OG,4.6,151.0,THC 22%,CBG 1%,Relaxed,Limonene,,,,,,0.0,0.018,0.013,0.0,0.04,0.0,0.0,0.168,0.0,0.041,0.008,0.087,0.052,0.0,0.209,0.318,,0.086,0.277,0.0,0.0,,1.19,0.0,16.05,0.02,0.0,0.06,0.0,0.0,0.0,0.31,0.13,0.0,
Lemon Thai,Sativa,,4.1,146.0,THC 22%,CBG 1%,Energetic,Terpinolene,,,,,,0.0,0.016,0.175,0.039,0.0,0.165,0.0,0.075,0.0,0.024,0.25,0.359,0.083,0.0,1.144,0.21,,0.078,0.19,0.0,0.0,,2.08,0.0,63.02,0.1,0.0,0.17,0.0,0.0,0.0,2.6,0.16,0.11,
Butter OG,Indica,,4.3,32.0,THC 19%,CBD 0%,Sleepy,Myrcene,,,,,,0.0,0.017,0.008,0.0,0.014,0.003,0.0,0.153,0.001,0.015,0.044,0.112,0.066,0.0,0.358,0.717,,0.124,0.534,0.0,0.0,,0.52,0.0,23.47,0.0,0.0,0.05,0.0,0.0,0.0,0.6,0.12,0.0,
Cold Creek Kush,Hybrid,,4.2,90.0,THC 21%,CBG 1%,Happy,Myrcene,,,,,,0.0,0.01,0.008,0.0,0.004,0.0,0.0,0.089,0.0,0.003,0.046,0.096,0.036,0.0,0.312,0.478,,0.071,0.333,0.0,0.0,,2.03,0.0,18.74,0.0,0.0,0.04,0.0,0.0,0.0,0.5,0.13,0.03,
Squirt,Hybrid,,4.5,15.0,THC 17%,CBG 1%,Energetic,Caryophyllene,,,,,,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.068,0.061,0.0,0.103,0.104,0.36,0.0,0.282,0.459,,0.169,0.183,0.0,0.0,,1.18,0.0,17.08,0.0,0.0,0.08,0.0,0.0,0.02,0.48,0.06,0.0,
Mr. Clean,Sativa,"aka Mister Clean, Sr. Clean",4.5,28.0,THC 20%,CBG 2%,Energetic,Caryophyllene,,,,,,0.0,0.011,0.011,0.0,0.0,0.001,0.001,0.065,0.001,0.006,0.019,0.059,0.043,0.0,0.168,0.166,,0.08,0.485,0.0,0.0,,0.16,0.0,17.53,0.0,0.0,0.04,0.0,0.0,0.0,0.49,0.11,0.0,
Herijuana,Indica,aka Herojuana,4.3,472.0,THC 22%,CBD 0%,Sleepy,Myrcene,,,,,,0.0,0.015,0.005,0.0,0.005,0.003,0.0,0.163,0.0,0.012,0.0,0.165,0.06,0.0,0.546,0.778,,0.11,0.605,0.0,0.0,,1.89,0.0,24.03,0.0,0.0,0.02,0.0,0.0,0.0,0.71,0.1,0.0,
Black Lime,Indica,"aka Black Lime Special Reserve, Black Lime Special, Black Lime Reserve",4.5,150.0,THC 16%,CBD 0%,Relaxed,Myrcene,,,,,,0.0,0.01,0.024,0.0,0.0,0.0,0.0,0.077,0.0,0.005,0.106,0.324,0.046,0.0,0.785,0.551,,0.072,0.499,0.0,0.0,,0.73,0.0,22.2,0.03,0.0,0.11,0.0,0.0,0.0,0.56,0.07,0.0,
Purple Dream,Hybrid,,4.4,286.0,THC 17%,CBG 1%,Aroused,Myrcene,,,,,,0.029,0.01,0.0,0.005,0.0,0.026,0.0,0.024,0.016,0.518,0.0,0.039,0.23,0.02,0.1,0.472,,0.154,0.118,0.013,0.0,,0.62,0.0,20.29,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.02,0.0,
Milk and Cookies,Hybrid,,4.8,13.0,THC 15%,CBD 0%,Giggly,Caryophyllene,,,,,,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.002,0.017,0.122,0.016,0.0,0.466,0.138,,0.029,0.123,0.0,0.0,,0.54,0.0,16.95,0.0,0.0,0.04,0.0,0.0,0.0,0.14,0.04,0.0,
Where's My Bike,Hybrid,,4.6,48.0,THC 19%,CBG 1%,Talkative,Caryophyllene,,,,,,0.037,0.0,0.0,0.0,0.028,0.02,0.0,0.0,0.267,1.13,0.021,0.052,0.061,0.034,0.193,0.232,,0.106,0.243,0.018,0.0,,1.05,0.0,27.25,0.0,0.0,0.06,0.0,0.0,0.0,2.09,0.06,0.0,
Jungle Juice,Hybrid,,4.4,27.0,THC 11%,CBD 0%,Sleepy,Limonene,,,,,,0.0,0.0,0.114,0.007,0.0,0.099,0.008,0.105,0.0,0.0,0.355,0.383,0.008,0.0,1.084,0.012,,0.0,0.0,0.0,0.0,,2.31,0.09,72.93,0.07,0.0,0.23,0.0,0.0,0.0,2.09,0.2,0.1,
Skunkberry,Hybrid,,4.5,93.0,THC 11%,CBD 0%,Euphoric,Pinene,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.074,0.0,0.032,0.085,0.262,0.0,0.296,0.394,,0.153,0.377,0.0,0.0,,0.65,0.0,18.53,0.0,0.0,0.02,0.0,0.0,0.0,0.55,0.06,0.02,
Dirty Girl,Sativa,,4.5,183.0,THC 23%,CBG 2%,Aroused,Limonene,,,,,,0.0,0.005,0.007,0.0,0.0,0.067,0.0,0.028,0.0,0.0,0.003,0.037,0.133,0.0,0.14,0.773,,0.083,0.097,0.0,0.0,,0.75,0.0,16.25,0.05,0.0,0.05,0.0,0.0,0.02,0.6,0.08,0.0,
